STNR,DATO,HR,PO,TA,UH,TD,DD,FF
180,22-JAN-13      ,6,974.1,-24.3,80,-26.4,243,0.4
180,22-JAN-13      ,7,973.8,-25.3,80,-28,236,0.3
180,22-JAN-13      ,8,973.8,-26,80,-28,217,0.5
180,22-JAN-13      ,9,974.2,-24.4,84,-24.9,141,0.7
180,22-JAN-13      ,10,974.1,-20.2,82,-22.4,311,1
180,22-JAN-13      ,11,973.6,-18,78,-20.4,296,2.3
180,22-JAN-13      ,12,973.3,-16.7,76,-19.4,332,1.4
180,22-JAN-13      ,13,972.7,-17.4,81,-19.4,299,1.4
180,22-JAN-13      ,14,972.4,-18.2,86,-19.4,275,1.2
180,22-JAN-13      ,15,972.3,-19.5,83,-21.4,242,0.8
180,22-JAN-13      ,16,972.4,-21.8,83,-23.6,146,0.4
180,22-JAN-13      ,17,972.3,-22.6,83,-24.9,268,1
180,22-JAN-13      ,18,972.4,-23.7,82,-26.4,123,1.4
180,22-JAN-13      ,19,972.3,-24.5,81,-28,131,0.5
180,22-JAN-13      ,20,972.5,-24.8,80,-28,244,0.1
180,22-JAN-13      ,21,972.4,-23,84,-24.9,279,1.1
180,22-JAN-13      ,22,972.5,-24.1,82,-26.4,286,1
180,22-JAN-13      ,23,972.5,-25.1,80,-28,240,0.6
180,23-JAN-13      ,0,972.4,-25.4,81,-28,248,0.3
180,23-JAN-13      ,1,972.4,-23.9,81,-26.4,8,0.5
180,23-JAN-13      ,2,972.2,-21.2,85,-23.6,329,1.1
180,23-JAN-13      ,3,972,-20.8,85,-22.4,313,1.1
180,23-JAN-13      ,4,971.9,-19.4,84,-21.4,329,1.7
180,23-JAN-13      ,5,971.7,-18.3,82,-20.4,327,1.3
180,23-JAN-13      ,6,971.6,-17.7,80,-20.4,292,2.9
180,23-JAN-13      ,7,971.4,-19.1,79,-21.4,320,1.7
180,23-JAN-13      ,8,971.8,-19.2,82,-21.4,294,2.3
180,23-JAN-13      ,9,972,-19.6,81,-21.4,316,2.3
180,23-JAN-13      ,10,971.9,-17.2,78,-20.4,297,3.1
180,23-JAN-13      ,11,971.7,-15.4,77,-18.6,298,2.6
180,23-JAN-13      ,12,971.4,-14.1,73,-17.8,301,2
180,23-JAN-13      ,13,971.3,-13.6,76,-17,313,1.9
180,23-JAN-13      ,14,971.2,-14.1,82,-16.3,305,1
180,23-JAN-13      ,15,971.3,-13.3,80,-15.6,308,1.5
180,23-JAN-13      ,16,971.4,-15.2,87,-16.3,200,0.7
180,23-JAN-13      ,17,971.7,-14,90,-15,160,0.5
180,23-JAN-13      ,18,971.5,-13.1,90,-14.4,352,0.3
180,23-JAN-13      ,19,971.6,-12.2,90,-13.2,299,1
180,23-JAN-13      ,20,971.4,-12.2,88,-13.8,268,0.5
180,23-JAN-13      ,21,971.6,-11.3,88,-12.7,231,0.6
180,23-JAN-13      ,22,972,-11.4,89,-12.7,324,0.6
180,23-JAN-13      ,23,971.9,-10.6,90,-12.1,281,0.9
180,24-JAN-13      ,0,972,-9.8,89,-11.2,298,1.4
180,24-JAN-13      ,1,972.3,-9.8,88,-11.2,315,1.1
180,24-JAN-13      ,2,972.4,-9.9,90,-11.2,280,1.2
180,24-JAN-13      ,3,972.2,-9.9,90,-11.2,269,1.3
180,24-JAN-13      ,4,972.2,-9.8,90,-11.2,274,0.9
180,24-JAN-13      ,5,972.4,-9.9,90,-11.2,259,0.8
180,24-JAN-13      ,6,972.9,-11.6,90,-12.7,278,1.7
180,24-JAN-13      ,7,973.2,-14.8,89,-16.3,132,0.5
180,24-JAN-13      ,8,973.6,-16.8,87,-18.6,119,0.1
180,24-JAN-13      ,9,973.8,-16.4,91,-17.8,257,0.5
180,24-JAN-13      ,10,974.1,-12.9,79,-15.6,0,0
180,24-JAN-13      ,11,974,-13.1,70,-17.8,128,0.7
180,24-JAN-13      ,12,973.8,-10.9,77,-13.8,123,0.6
180,24-JAN-13      ,13,973.9,-12.3,81,-15,0,0
180,24-JAN-13      ,14,974.1,-13.5,87,-15,208,0.9
180,24-JAN-13      ,15,974.5,-14.9,88,-16.3,273,0.2
180,24-JAN-13      ,16,974.9,-16.6,89,-17.8,175,0.5
180,24-JAN-13      ,17,975.2,-18,88,-19.4,129,0.7
180,24-JAN-13      ,18,975,-19.1,87,-20.4,301,0.4
180,24-JAN-13      ,19,975.4,-17.3,92,-17.8,281,2
180,24-JAN-13      ,20,975.6,-17.1,88,-18.6,288,1.7
180,24-JAN-13      ,21,975.7,-18,87,-19.4,283,1.1
180,24-JAN-13      ,22,975.4,-21.1,83,-23.6,125,0.9
180,24-JAN-13      ,23,975.4,-19.9,88,-21.4,269,1.2
180,25-JAN-13      ,0,975.1,-22.5,82,-24.9,217,0.3
180,25-JAN-13      ,1,974.9,-23.4,81,-26.4,0,0
180,25-JAN-13      ,2,974.7,-24.2,81,-26.4,150,0.3
180,25-JAN-13      ,3,974.4,-24.7,81,-28,116,0.3
180,25-JAN-13      ,4,974,-25,81,-28,0,0
180,25-JAN-13      ,5,973.4,-25.3,81,-28,127,0.4
180,25-JAN-13      ,6,973.2,-25.6,80,-28,140,0.1
180,25-JAN-13      ,7,972.6,-25.9,80,-28,0,0
180,25-JAN-13      ,8,972.4,-25.7,80,-28,0,0
180,25-JAN-13      ,9,972.1,-24.9,80,-28,251,0.3
180,25-JAN-13      ,10,971.7,-21.6,85,-23.6,93,0.4
180,25-JAN-13      ,11,971.1,-19.8,82,-21.4,324,0.2
180,25-JAN-13      ,12,970.7,-18.8,72,-22.4,255,0.5
180,25-JAN-13      ,13,969.7,-19.4,77,-22.4,139,0.5
180,25-JAN-13      ,14,969.6,-20.2,82,-22.4,170,0.6
180,25-JAN-13      ,15,969.3,-21.6,82,-23.6,148,0.5
180,25-JAN-13      ,16,969.1,-22.7,82,-24.9,280,0.3
180,25-JAN-13      ,17,969,-23.6,82,-26.4,225,0.7
180,25-JAN-13      ,18,968.6,-24.5,81,-28,105,0.2
180,25-JAN-13      ,19,968.3,-25,81,-28,52,0.2
180,25-JAN-13      ,20,967.9,-25.4,80,-28,133,0.2
180,25-JAN-13      ,21,967.6,-25.5,81,-28,256,0.7
180,25-JAN-13      ,22,967.3,-25.5,80,-28,126,0.5
180,25-JAN-13      ,23,966.6,-24.8,82,-26.4,117,1.4
180,26-JAN-13      ,0,966.1,-23.3,82,-26.4,306,1.3
180,26-JAN-13      ,1,965.1,-22.5,83,-24.9,54,0.2
180,26-JAN-13      ,2,964.7,-21.2,84,-23.6,295,0.7
180,26-JAN-13      ,3,963.9,-20.6,84,-22.4,39,0.8
180,26-JAN-13      ,4,963.3,-20,85,-21.4,47,0.3
180,26-JAN-13      ,5,962.5,-19.3,84,-21.4,62,0.2
180,26-JAN-13      ,6,962.2,-18.6,85,-20.4,110,0.6
180,26-JAN-13      ,7,961.9,-18,86,-19.4,212,0.3
180,26-JAN-13      ,8,961.9,-17.3,85,-18.6,113,0.2
180,26-JAN-13      ,9,961.8,-16.4,86,-17.8,47,0.5
180,26-JAN-13      ,10,961.8,-15.5,87,-17,339,1
180,26-JAN-13      ,11,961,-14.5,87,-16.3,35,0.3
180,26-JAN-13      ,12,960.3,-12.6,91,-13.8,76,0.7
180,26-JAN-13      ,13,959.8,-6.3,98,-6.7,105,3.3
180,26-JAN-13      ,14,959.8,-5.3,93,-6.3,118,2.6
180,26-JAN-13      ,15,959.8,-5.2,92,-6,112,2.6
180,26-JAN-13      ,16,960,-5.2,92,-6,117,2.3
180,26-JAN-13      ,17,959.8,-5.4,93,-6.3,109,1.5
180,26-JAN-13      ,18,959.4,-5.3,93,-6.3,106,2
180,26-JAN-13      ,19,959.3,-5.5,92,-6.3,122,1.5
180,26-JAN-13      ,20,959.1,-5.9,93,-7,131,0.9
180,26-JAN-13      ,21,958.7,-5.5,92,-6.3,114,2
180,26-JAN-13      ,22,958.7,-5.4,89,-7,79,2.3
180,26-JAN-13      ,23,959,-5.6,88,-7.4,116,2
180,27-JAN-13      ,0,959,-5.7,86,-7.8,120,1.4
180,27-JAN-13      ,1,958.4,-5.9,88,-7.8,114,1.9
180,27-JAN-13      ,2,957.9,-6.4,91,-7.4,118,1.4
180,27-JAN-13      ,3,957.5,-6.3,92,-7.4,110,2
180,27-JAN-13      ,4,957,-6.2,91,-7.4,104,2.5
180,27-JAN-13      ,5,956.8,-6.2,92,-7.4,110,2.2
180,27-JAN-13      ,6,956.3,-6.3,93,-7.4,109,2.4
180,27-JAN-13      ,7,956,-6.4,94,-7,121,2.2
180,27-JAN-13      ,8,955.5,-6.4,94,-7,128,2.3
180,27-JAN-13      ,9,954.9,-6.3,96,-7,113,2.2
180,27-JAN-13      ,10,954.1,-6.1,94,-6.7,121,2.6
180,27-JAN-13      ,11,953.6,-6.1,92,-7,118,2.9
180,27-JAN-13      ,12,952.6,-6.3,91,-7.4,119,3.1
180,27-JAN-13      ,13,951.9,-6.6,92,-7.8,120,3.2
180,27-JAN-13      ,14,951,-6.7,90,-8.1,125,2.9
180,27-JAN-13      ,15,950.3,-6.8,91,-7.8,127,3
180,27-JAN-13      ,16,949.1,-7,93,-8.1,138,2.1
180,27-JAN-13      ,17,948.2,-7,93,-8.1,138,2
180,27-JAN-13      ,18,947.5,-7,93,-8.1,146,1.6
180,27-JAN-13      ,19,946.7,-6.9,93,-8.1,160,1.5
180,27-JAN-13      ,20,946.1,-6.8,93,-7.8,183,1.3
180,27-JAN-13      ,21,945.4,-6.8,93,-7.8,80,0.3
180,27-JAN-13      ,22,945.2,-6.8,94,-7.4,83,0.5
180,27-JAN-13      ,23,944.8,-6.8,94,-7.4,322,0.2
180,28-JAN-13      ,0,944.3,-6.8,95,-7.4,144,0.7
180,28-JAN-13      ,1,943.8,-6.6,95,-7.4,155,0.2
180,28-JAN-13      ,2,943.3,-6.4,95,-7,273,0.9
180,28-JAN-13      ,3,942.6,-6.3,95,-7,0,0
180,28-JAN-13      ,4,942.4,-6.1,95,-6.7,0,0
180,28-JAN-13      ,5,942.5,-5.8,95,-6.3,143,1.6
180,28-JAN-13      ,6,943.1,-4.1,96,-4.7,178,2
180,28-JAN-13      ,7,944.1,-2.4,92,-3.5,133,2.7
180,28-JAN-13      ,8,945.2,-2.8,95,-3.3,120,2
180,28-JAN-13      ,9,946.5,-2,90,-3.3,108,2.4
180,28-JAN-13      ,10,947.4,-1.5,89,-3,110,2.3
180,28-JAN-13      ,11,948.1,-1.5,91,-2.7,108,2.5
180,28-JAN-13      ,12,949.1,-1,91,-2.2,116,2.1
180,28-JAN-13      ,13,949.7,-0.8,90,-2.2,117,2.6
180,28-JAN-13      ,14,950.2,-1.4,92,-2.4,127,3
180,28-JAN-13      ,15,950.8,-1.7,93,-2.7,124,3.5
180,28-JAN-13      ,16,951.1,-1.7,94,-2.4,133,1.7
180,28-JAN-13      ,17,951.2,-0.7,93,-1.7,87,2.9
180,28-JAN-13      ,18,951.3,-1,93,-1.9,119,2
180,28-JAN-13      ,19,951.1,-0.5,92,-1.7,127,2.3
180,28-JAN-13      ,20,951.1,-0.3,91,-1.4,120,1.5
180,28-JAN-13      ,21,951.1,-0.1,89,-1.7,108,1.3
180,28-JAN-13      ,22,951,-0.1,90,-1.4,104,1.3
180,28-JAN-13      ,23,951,-0.2,92,-1.4,102,1.4
180,29-JAN-13      ,0,950.6,-0.2,94,-1.2,95,1.6
180,29-JAN-13      ,1,950.1,-0.3,97,-0.7,115,1.8
180,29-JAN-13      ,2,949.8,-0.2,96,-0.7,120,1.5
180,29-JAN-13      ,3,949.5,0,98,-0.2,111,1.8
180,29-JAN-13      ,4,949.3,0.2,96,-0.2,111,1.6
180,29-JAN-13      ,5,948.9,0.1,97,-0.2,115,2.5
180,29-JAN-13      ,6,948.7,-0.1,97,-0.5,128,2.3
180,29-JAN-13      ,7,948.4,-0.3,97,-0.7,122,2.9
180,29-JAN-13      ,8,948.2,-0.4,98,-0.7,126,2.8
180,29-JAN-13      ,9,948.1,-0.2,98,-0.5,122,2.6
180,29-JAN-13      ,10,948.3,-0.3,97,-0.7,116,3
180,29-JAN-13      ,11,948.3,-0.2,96,-0.7,120,2.5
180,29-JAN-13      ,12,948.4,-0.3,96,-0.7,119,2.1
180,29-JAN-13      ,13,948.4,-0.3,96,-0.7,125,2.4
180,29-JAN-13      ,14,948.5,-0.3,96,-0.7,118,2.2
180,29-JAN-13      ,15,948.6,-0.5,96,-0.9,134,1.9
180,29-JAN-13      ,16,948.7,-0.7,97,-1.2,115,1.9
180,29-JAN-13      ,17,948.8,-0.7,97,-1.2,91,1.9
180,29-JAN-13      ,18,949,-0.7,97,-1.2,118,1.3
180,29-JAN-13      ,19,949.2,-0.8,97,-1.2,112,1.7
180,29-JAN-13      ,20,949.2,-0.9,97,-1.4,110,1.5
180,29-JAN-13      ,21,948.6,-1,97,-1.4,125,1.5
180,29-JAN-13      ,22,947.9,-1.1,97,-1.7,134,1.1
180,29-JAN-13      ,23,947.1,-1,97,-1.4,116,1.7
180,30-JAN-13      ,0,946,-1,98,-1.2,130,2.1
180,30-JAN-13      ,1,944.7,-1,98,-1.2,133,2
180,30-JAN-13      ,2,942.6,-1,98,-1.2,137,2.3
180,30-JAN-13      ,3,941.4,-0.9,98,-1.2,122,2.3
180,30-JAN-13      ,4,940.6,-0.8,98,-0.9,127,2.2
180,30-JAN-13      ,5,938.7,-0.8,98,-0.9,133,2.2
180,30-JAN-13      ,6,936.7,-0.7,98,-0.9,133,2.3
180,30-JAN-13      ,7,935.3,-0.6,98,-0.9,124,2
180,30-JAN-13      ,8,934.6,-0.2,98,-0.5,101,1.9
180,30-JAN-13      ,9,933.9,0.3,98,0,120,2.2
180,30-JAN-13      ,10,933.4,0.7,96,0,128,3.3
180,30-JAN-13      ,11,933.1,1.2,92,0.2,128,2.5
180,30-JAN-13      ,12,932.8,1.1,93,0,101,2.8
180,30-JAN-13      ,13,932.8,1.3,90,-0.2,105,2.5
180,30-JAN-13      ,14,932.3,1,90,-0.5,86,2.6
180,30-JAN-13      ,15,932.1,0.7,91,-0.7,94,2.9
180,30-JAN-13      ,16,931.7,0.7,91,-0.7,158,2
180,30-JAN-13      ,17,930.9,0.6,93,-0.2,117,2.2
180,30-JAN-13      ,18,930.1,0.5,94,-0.5,122,2
180,30-JAN-13      ,19,929.5,0.5,95,-0.2,114,2.3
180,30-JAN-13      ,20,929.1,0.5,95,-0.2,118,2.7
180,30-JAN-13      ,21,928.9,0.6,95,0,125,2.7
180,30-JAN-13      ,22,928.7,0.7,93,-0.2,117,2.7
180,30-JAN-13      ,23,928.9,0.6,95,0,117,2.2
180,31-JAN-13      ,0,929.3,0.6,95,0,116,1.9
180,31-JAN-13      ,1,930.1,0.2,96,-0.2,151,1.2
180,31-JAN-13      ,2,931.1,0.1,97,-0.2,215,0.4
180,31-JAN-13      ,3,932.2,0,97,-0.5,302,0.2
180,31-JAN-13      ,4,933.7,0,97,-0.5,238,0.3
180,31-JAN-13      ,5,934.8,-0.1,87,-1.9,311,2.9
180,31-JAN-13      ,6,936.5,0,82,-2.7,310,3.5
180,31-JAN-13      ,7,937.8,-0.8,83,-3.3,282,3
180,31-JAN-13      ,8,938.9,-1,78,-4.4,329,2.9
180,31-JAN-13      ,9,940.3,-1.4,75,-5.3,309,2.6
180,31-JAN-13      ,10,941.6,-0.3,70,-5,297,2.6
180,31-JAN-13      ,11,942.7,-0.2,68,-5.3,308,2.2
180,31-JAN-13      ,12,943.2,0.4,67,-5,297,1.7
180,31-JAN-13      ,13,944,0.2,65,-5.7,298,3.4
180,31-JAN-13      ,14,944.5,-0.7,70,-5.3,287,3.4
180,31-JAN-13      ,15,945,-2.1,78,-5.3,307,2.9
180,31-JAN-13      ,16,945.5,-5.9,90,-7.4,185,0.9
180,31-JAN-13      ,17,945.9,-8.1,93,-8.9,127,0.7
180,31-JAN-13      ,18,946.4,-9.5,94,-10.2,227,0.9
180,31-JAN-13      ,19,946.8,-10.9,92,-11.6,282,0.3
180,31-JAN-13      ,20,947.2,-12.6,91,-13.8,150,0.8
180,31-JAN-13      ,21,948,-14.2,89,-15.6,275,0.3
180,31-JAN-13      ,22,948.6,-15.5,88,-17,91,0.6
180,31-JAN-13      ,23,949.2,-16.3,88,-17.8,211,0.7
180,01-FEB-13      ,0,949.3,-17.1,88,-18.6,161,0.8
180,01-FEB-13      ,1,949.6,-18.1,87,-19.4,293,0.4
180,01-FEB-13      ,2,949.8,-18.9,86,-20.4,290,0.6
180,01-FEB-13      ,3,949.6,-19.8,85,-21.4,181,0.2
180,01-FEB-13      ,4,950.1,-20.7,85,-22.4,213,0.4
180,01-FEB-13      ,5,950.2,-21,85,-23.6,246,0.5
180,01-FEB-13      ,6,950.1,-21.3,85,-23.6,132,0.7
180,01-FEB-13      ,7,950.1,-22,84,-23.6,148,0.9
180,01-FEB-13      ,8,950.2,-22.7,82,-24.9,189,0.1
180,01-FEB-13      ,9,950.5,-19.4,90,-20.4,181,0.2
180,01-FEB-13      ,10,950.5,-15.7,89,-17,320,0.3
180,01-FEB-13      ,11,950.3,-14.5,84,-16.3,154,0.3
180,01-FEB-13      ,12,950.1,-12.2,76,-15.6,45,0.3
180,01-FEB-13      ,13,949.9,-13.1,79,-16.3,260,0.3
180,01-FEB-13      ,14,949.7,-14.6,87,-16.3,297,0.6
180,01-FEB-13      ,15,949.6,-16,87,-17,242,0.8
180,01-FEB-13      ,16,949.4,-18,86,-19.4,178,0.5
180,01-FEB-13      ,17,949.4,-18.8,87,-20.4,312,1.1
180,01-FEB-13      ,18,949.3,-20.2,85,-22.4,193,0.8
180,01-FEB-13      ,19,949.3,-21.1,84,-23.6,267,0.4
180,01-FEB-13      ,20,949.2,-22.2,84,-24.9,100,0.8
180,01-FEB-13      ,21,949.2,-22.6,83,-24.9,191,0.3
180,01-FEB-13      ,22,948.9,-23.1,83,-24.9,201,0.5
180,01-FEB-13      ,23,948.9,-23.3,83,-26.4,131,0.3
